id,Year,Road,Air,Rail,Other
1,1996,1216.36,1662.16,1585.64,2297.57
2,1998,1260.96,2000.55,1652.64,3008.97
3,2000,1217.34,2060.56,1780.49,2070.59
4,2002,1310.11,1736.51,1782.67,1509.51
5,2004,1286.60,1747.94,1888.28,1453.76
6,2005,1414.15,1831.16,2231.20,1696.20
7,2008,1420.30,1919.03,2010.59,3668.26
8,2010,1325.19,2312.14,2187.39,3367.16
9,2012,1353.76,2124.08,2375.99,3579.16
10,2014,1492.06,1852.82,2355.93,3529.14
11,2016,1485.64,2166.29,2436.81,1480.43
12,2018,1555.44,2177.71,2304.55,3544.40
13,2021,1610.93,2246.20,2542.21,4328.19
14,2023,1638.60,2193.80,2629.70,4247.20